"codigo","actividad_economica","afecta_iva","categoria"
"492210","Servicios de transporte de escolares",,
"492220","Servicios de transporte de trabajadores",,
"492190","Otras actividades de transporte urbano y suburbano de pasajeros por vía terrestre n.c.p.",,
"492230","Servicios de transporte de pasajeros en taxis libres y radiotaxis",,
"492240","Servicios de transporte a turistas",,
"492300","Transporte de carga por carretera",,
"493010","Transporte por oleoductos",,
"493020","Transporte por gasoductos",,
"493090","Otras actividades de transporte por tuberías n.c.p.",,
"501100","Transporte de pasajeros marítimo y de cabotaje",,
"501200","Transporte de carga marítimo y de cabotaje",,
"502100","Transporte de pasajeros por vías de navegación interiores",,
"502200","Transporte de carga por vías de navegación interiores",,
"511000","Transporte de pasajeros por vía aérea",,
"512000","Transporte de carga por vía aérea",,
"522400","Manipulación de la carga",,
"521009","Otros servicios de almacenamiento y depósito n.c.p.",,
"522110","Explotación de terminales terrestres de pasajeros",,
"522120","Explotación de estacionamientos de vehículos automotores y parquímetros",,
"522130","Servicios prestados por concesionarios de carreteras",,
"331509","Reparación de otros equipos de transporte n.c.p., excepto vehículos automotores",,
"522190","Actividades de servicios vinculadas al transporte terrestre n.c.p.",,
"522200","Actividades de servicios vinculadas al transporte acuático",,
"522300","Actividades de servicios vinculadas al transporte aéreo",,
"791100","Actividades de agencias de viajes",,
"791200","Actividades de operadores turísticos",,
"522910","Agencias de aduanas",,
"522920","Agencias de naves",,
"522990","Otras actividades de apoyo al transporte n.c.p.",,
"531000","Actividades postales",,
"532000","Actividades de mensajería",,
"611010","Telefonía fija",,
"612010","Telefonía móvil celular",,
"613010","Telefonía móvil satelital",,
"611020","Telefonía larga distancia",,
"611030","Televisión de pago por cable",,
"612030","Televisión de pago inalámbrica",,
"613020","Televisión de pago satelital",,
"619010","Centros de llamados y centros de acceso a Internet",,
"611090","Otros servicios de telecomunicaciones alámbricas n.c.p.",,
"612020","Radiocomunicaciones móviles",,
"612090","Otros servicios de telecomunicaciones inalámbricas n.c.p.",,
"613090","Otros servicios de telecomunicaciones por satélite n.c.p.",,
"619090","Otras actividades de telecomunicaciones n.c.p.",,
"641100","Banca central",,
"641910","Actividades bancarias",,
"649201","Financieras",,
"649100","Leasing financiero",,
"649202","Actividades de crédito prendario",,
"649900","Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones n.c.p.",,
"661201","Actividades de securitizadoras",,
"649209","Otras actividades de concesión de crédito n.c.p.",,
"663091","Administradoras de fondos de inversión",,
"663092","Administradoras de fondos mutuos",,
"663093","Administradoras de fices (fondos de inversión de capital extranjero)",,
"663094","Administradoras de fondos para la vivienda",,
"663099","Administradoras de fondos para otros fines n.c.p.",,
"642000","Actividades de sociedades de cartera",,
"643000","Fondos y sociedades de inversión y entidades financieras similares",,
"774000","Arrendamiento de propiedad intelectual y similares, excepto obras protegidas por derechos de autor",,
"653000","Fondos de pensiones",,
"663010","Administradoras de Fondos de Pensiones (AFP)",,
"651100","Seguros de vida",,
"651210","Seguros generales, excepto actividades de Isapres",,
"652000","Reaseguros",,
"651220","Actividades de Isapres",,
"661100","Administración de mercados financieros",,
"661202","Corredores de bolsa",,
"661203","Agentes de valores",,
"661209","Otros servicios de corretaje de valores y commodities n.c.p.",,
"661901","Actividades de cámaras de compensación",,
"661902","Administración de tarjetas de crédito",,
"661903","Empresas de asesoría y consultoría en inversión financiera; sociedades de apoyo al giro",,
"661904","Actividades de clasificadoras de riesgo",,
"661204","Actividades de casas de cambio y operadores de divisa",,
"641990","Otros tipos de intermediación monetaria n.c.p.",,
"661909","Otras actividades auxiliares de las actividades de servicios financieros n.c.p.",,
"662200","Actividades de agentes y corredores de seguros",,
"662100","Evaluación de riesgos y daños (incluye actividades de liquidadores de seguros)",,
"662900","Otras actividades auxiliares de las actividades de seguros y fondos de pensiones",,
"429000","Construcción de otras obras de ingeniería civil",,
"681020","Servicios imputados de alquiler de viviendas",,
"811000","Actividades combinadas de apoyo a instalaciones",,
